Week,Item Name,Quantity
week 1,Kirkland Signature Normandy-Style Vegetable Blend,3
week 1,Capresso 1 Cup Programmable Coffee Maker,1
week 1,Solo Plastic Knife Heavyweight,1
week 1,Solo Plastic Spoon Heavyweight,1
week 1,Solo Plastic Fork Heavyweight,1
week 1,Kellogg's Cereal Cups Family Variety Pack,3
week 1,Honeycrisp Apples,1
week 1,Quaker Instant Oatmeal Variety Pack,1
week 1,Chosen Foods Avocado Oil Spray,1
week 1,Chobani Blended Greek Yogurt Vanilla,17
week 1,Kirkland Signature Tortilla Strips,1
week 1,La Banderita 10" Flour Tortillas,3
week 1,Kirkland Signature Fully-Cooked Bacon,6
week 1,Dixie Ultra Paper Plate,3
week 1,Famous Amos Cookies Chocolate Chip,3
week 1,Sue Bee Pure Honey Midwest Raw Unfiltered Honey,1
week 1,Kirkland Signature Lightly Breaded Chicken Breast Chunks,10
week 1,Kellogg's Cereal Mini Boxes Variety Pack,5
week 1,Kirkland Signature Outdoor Trash Bags,1
week 1,Shredded Lettuce,1
week 1,POM Wonderful 100% Pomegranate Juice,1
week 1,Frigidaire Gallery Top Mount Refrigerator,1
week 1,Dial Antibacterial & Moisturizing Foaming Hand Wash + Aloe,1
week 1,Bolthouse Farms 100% Orange Juice,3
week 1,Dunkin' Original Blend Ground Coffee Medium Roast,1
week 1,Kinder's Organic Seasoning Bourbon Steak,1
week 1,Case Sale Jumbo Halal Chicken Breast Boneless,1
week 1,Tomatoes On The Vine,1
week 1,Kirkland Signature Ancient Grains Probiotic Granola,3
week 1,Cholula Hot Sauce Original,4
week 1,Premium Strawberries,8
week 1,Dixie Ultra Paper Bowl,8
week 1,Kirkland Signature Whole Milk,5
week 1,Bananas,8
week 1,Village Hearth Cottage White Bread,3
week 1,Sweet Baby Ray's Barbecue Sauce,1
week 1,PHILADELPHIA Cream Cheese Spread Original,1
week 1,Large Eggs,1
week 1,Hellmann's Real Mayonnaise,1
week 1,Mixed Bell Peppers,4
week 1,Extra Large Eggs,1
week 1,Kirkland Signature Bath Tissue,1
week 1,Cascade Dairy Mexican Four Cheese Blend,4
week 1,Avocados,7
week 1,Kirkland Signature IQF Blueberries,1
week 1,Yellow Onions,1
week 1,Baking Potatoes,1
week 1,Kirkland Signature Medium Roast Coffee,1
week 1,Kirkland Signature 1% Reduced Fat Milk,5
week 1,McCormick Lemon & Pepper Seasoning,1
week 1,Skippy Creamy Peanut Butter,1
week 1,Kirkland Signature Microwave Popcorn,1
week 1,Connaisseur #4 Cone Coffee Filter,1
week 1,Dawn Platinum Advanced Power Liquid Dish Detergent,1
